Nome,Link Detalhes,Link Imagem
Bar Junto Juntinho,https://comidadibuteco.com.br/buteco/bar-junto-juntinho/,https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2025/03/10075811/barjuntojuntinho_poliamorculinario_bh_2025_rodneycosta_unibh-1725-1-1-scaled.jpg
Bar Mania Mineira,https://comidadibuteco.com.br/buteco/5668-revision-v1/,https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2025/03/15050748/maniamineira_explosaodesabores_bh_2025_fernandaoliveira_unibh-8088-scaled.jpg
Bar Pompéu,https://comidadibuteco.com.br/buteco/3135-revision-v1/,https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2025/03/15050703/pompeu_emasnume_bh_2025_rodneycosta_unibh-8144-scaled.jpg
Bar Stella,https://comidadibuteco.com.br/buteco/bar-stella/,https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2025/03/19150007/barstella_boibebum_bh_2025_amandacantanhede_unibh-7586-scaled.jpg
Bar Temático Sta. Teresa,https://comidadibuteco.com.br/buteco/bar-tematico-sta-teresa-2/,https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2025/03/15050630/tematico_cdb_25desucessoarrumado_bh_2025_rodneycosta_unibh-9084-scaled.jpg
Barrigudinha Buteco,https://comidadibuteco.com.br/buteco/barrigudinha-buteco/,https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2025/03/15050518/barrigudinha_bodasaopradoribaomolhorubi_bh_2025_rodneycosta_unibh-8195-scaled.jpg
Barzim dos amigos,https://comidadibuteco.com.br/buteco/barzim-dos-amigos/,https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2025/03/19150257/bardosamigos_porpetadebuteco_bh_2025_isaquerodrigues_unibh-7775-scaled.jpg
Bazin Bar,https://comidadibuteco.com.br/buteco/bazin-bar/,https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2025/03/19150411/bazim_bodasdeprata_bh_2025_rodneycosta_unibh-8388-scaled.jpg
Beco Restaurante,https://comidadibuteco.com.br/buteco/beco-restaurante/,https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2025/03/19150511/becorestaurante_ladicasa_bh_2025_fernandaoliveira_unibh-8137-scaled.jpg
Benjamin Bar,https://comidadibuteco.com.br/buteco/benjamin-bar/,https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2025/03/15050454/benjamin_boizimnomilharal_bh_2025_isaquerodrigues_unibh-7748-scaled.jpg
Boteco 86,https://comidadibuteco.com.br/buteco/boteco-86/,https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2025/03/19150606/boteco86_bolinhonordestino_bh_2025_isaquerodrigues_unibh-7714-scaled.jpg
Botequim Buritis,https://comidadibuteco.com.br/buteco/botequim-buritis/,https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2025/03/15050402/botequimburitis_butequeiro_bh_2025_isaquerodrigues_unibh-7665-scaled.jpg
Botequim de Lourdes,https://comidadibuteco.com.br/buteco/botequim-de-lurdes/,https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2025/03/19150737/butequimlourdes_rocamboledetorresmoquesoobutequimtem_bh_2025_rodneycosta_unibh-9228-scaled.jpg
Buteco do Lili,https://comidadibuteco.com.br/buteco/3151-autosave-v1/,https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2025/03/15050340/butecodolili_saboresdeprata_bh_2025_rodneycosta_unibh-8489-scaled.jpg
Buteco do Rod,https://comidadibuteco.com.br/buteco/buteco-do-rod/,https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2025/03/19150856/butecodorod_caneladebutequeiro_bh_2025_isaquerodrigues_unibh-8863-scaled.jpg
Buteco Tô D’Boa,https://comidadibuteco.com.br/buteco/buteco-to-dboa/,https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2025/03/19151018/butecotodeboa_paletasuinamineira_bh_2025_isaquerodrigues_unibh-7945-scaled.jpg
Buteco’s Bar,https://comidadibuteco.com.br/buteco/3145-revision-v1/,https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2025/03/15050320/butecosbar_nuhrachouminhacostela_bh_2025_rodneycosta_unibh-8662-scaled.jpg
Butiquim On Cê Tá?,https://comidadibuteco.com.br/buteco/butiquim-on-ce-ta/,https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2025/03/15050251/butequimonceta_almodegadamammatereza_bh_2025_isaquerodrigues_unibh-9021-scaled.jpg
Café Bahia,https://comidadibuteco.com.br/buteco/3147-revision-v1/,https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2025/03/15050158/cafebahia_trupiqueinobahia_bh_2025_amandacantanhede_unibh-9006-scaled.jpg
Café Palhares,https://comidadibuteco.com.br/buteco/3149-revision-v1/,https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2025/03/15050219/cafepalhares_polpetadeberingelacomdoisqueijos_bh_2025_fernandaoliveira_unibh-8289-scaled.jpg
Camisola Bar,https://comidadibuteco.com.br/buteco/camisola-bar/,https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2025/03/19151142/camisola_costelamineira_bh_2025_rodneycosta_unibh-7449-scaled.jpg
Canela Amarela,https://comidadibuteco.com.br/buteco/canela-amarela/,https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2025/03/19151248/canelaamarela_bolanarede_bh_2025_isaquerodrigues_unibh-9287-scaled.jpg
Cantina Arte Quintal,https://comidadibuteco.com.br/buteco/cantina-arte-quintal/,https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2025/03/19151606/cantinaartequinta_fraudinhaacachacaecerveja_bh_2025_isaquerodrigues_unibh-7690-scaled.jpg
Cantinho da Baiana,https://comidadibuteco.com.br/buteco/cantinho-da-baiana/,https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2025/03/19151713/cantinhodabaianamineirounos25_bh_2025_rodneycosta_unibh-8748-scaled.jpg
Casa da Madrinha,https://comidadibuteco.com.br/buteco/casa-da-madrinha/,https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2025/03/19151819/casadamadrinha_bemmineiro_bh_2025_amandacantanhede_unibh-8867-scaled.jpg
Cervejaria Pajé,https://comidadibuteco.com.br/buteco/cervejaria-paje/,https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2025/03/19151930/cervejariapaje_xukurukariri_bh_2025_mylenaizis_unibh-8027-scaled.jpg
Chapa Mágica,https://comidadibuteco.com.br/buteco/chapa-magica/,https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2025/03/19152044/chapamagica_incangadodeihameebancondadonabiu_bh_2025_amandacantanhede_unibh-8830-scaled.jpg
Choperia América Norte Sul,https://comidadibuteco.com.br/buteco/choperia-america-norte-sul/,https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2025/03/15050104/americanorteesul_tiragostoescondido_bh_2025_rodneycosta_unibh-7408-scaled.jpg
